molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,target,is_outlier,molwt,LogP,TPSA,HBD,HBA,RotB,violation_count,passes_lipinski,passes_veber
CHEMBL165,=,=,nM,25400.0,uM,25.4,aromatase,True,228.247,2.9738000000000016,60.69,3.0,3.0,2.0,0.0,True,True
CHEMBL169,=,=,nM,26600.0,uM,26.6,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,27800.0,uM,27.8,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL558103,=,=,nM,29200.0,uM,29.2,PTP1B,False,324.37600000000003,4.313000000000004,66.76,2.0,4.0,3.0,0.0,True,True
CHEMBL139702,=,=,nM,30390.0,uM,30.39,DPP4,True,338.4030000000001,4.466100000000004,66.76,2.0,4.0,6.0,0.0,True,True
CHEMBL169,=,=,nM,30700.0,uM,30.7,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL169,=,=,nM,32000.0,uM,32.0,aromatase,True,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL50,=,=,nM,32730.0,uM,32.73,DPP4,True,302.23800000000006,1.988,131.36,5.0,7.0,1.0,0.0,True,True
CHEMBL169,=,=,nM,33100.0,uM,33.1,PTP1B,False,456.7110000000003,7.089500000000009,57.53,2.0,2.0,1.0,1.0,True,True
CHEMBL1778899,=,=,nM,34000.0,uM,34.0,DPP4,True,363.2070000000001,4.068000000000003,55.760000000000005,1.0,4.0,5.0,0.0,True,True
CHEMBL5630400,=,=,nM,34340.0,uM,34.34,DPP4,True,482.4000000000002,2.2838000000000003,131.54000000000002,0.0,10.0,4.0,0.0,True,True
CHEMBL558103,=,=,nM,40950.0,uM,40.95,aromatase,True,324.37600000000003,4.313000000000004,66.76,2.0,4.0,3.0,0.0,True,True
CHEMBL275638,=,=,nM,47973.34,,4.319,aromatase,True,222.243,3.4600000000000017,30.21,0.0,2.0,1.0,0.0,True,True
CHEMBL269277,=,=,nM,55820.0,uM,55.82,DPP4,True,456.7110000000003,7.089500000000009,57.53,2.0,2.0,2.0,1.0,True,True
CHEMBL5630400,=,=,nM,58060.0,uM,58.06,PTP1B,True,482.4000000000002,2.2838000000000003,131.54000000000002,0.0,10.0,4.0,0.0,True,True
CHEMBL165,=,=,nM,80000.0,uM,80.0,aromatase,True,228.247,2.9738000000000016,60.69,3.0,3.0,2.0,0.0,True,True
CHEMBL50,=,=,nM,130000.0,uM,130.0,DPP4,True,302.23800000000006,1.988,131.36,5.0,7.0,1.0,0.0,True,True
CHEMBL9352,=,=,nM,130100.0,uM,130.1,PTP1B,True,272.25600000000003,2.509900000000002,86.99000000000001,3.0,5.0,1.0,0.0,True,True
