molecule_chembl_id,canonical_smiles
CHEMBL133724,CC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1
CHEMBL336102,CCC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1
CHEMBL134442,C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)Cc1ccncc1
CHEMBL135037,O=C(Cc1cccnc1)OC12CC3CC(CC(C3)C1)C2
CHEMBL134509,CC(C(=O)OC12CC3CC(CC(C3)C1)C2)c1cccnc1
CHEMBL337251,C[C@@H]1C(OC(=O)C(C)(C)c2cccnc2)CC2CC1C2(C)C
CHEMBL131984,C[C@@H]1C(OC(=O)Cc2cccnc2)CC2CC1C2(C)C
CHEMBL132380,CCC(CC)(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1
CHEMBL135070,C[C@@H]1C(OC(=O)C(C)(C)c2ccncc2)CC2CC1C2(C)C
CHEMBL444068,C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)C(C)(C)c1cccnc1
CHEMBL134169,CC(C)(C(=O)OC12CC3CC(CC(C3)C1)C2)c1cccnc1
CHEMBL132066,CC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1cccnc1
CHEMBL135095,C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)Cc1cccnc1
CHEMBL3084923,CC(C)(C(=O)OC1(C)C2CC3CC(C2)CC1C3)c1cccnc1
CHEMBL3084924,CC1(OC(=O)Cc2cccnc2)C2CC3CC(C2)CC1C3
CHEMBL268918,CCCCCCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL8333,CCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL266532,CCCCCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL266350,CCCCCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL440832,CCCCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL8313,CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL8417,CCCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL8315,C[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL8254,CCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL268209,CCCCCCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL267668,CCCCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL274878,C[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL8498,CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
CHEMBL8646,CCCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
