molecule_chembl_id,molwt,LogP,TPSA,HBD,HBA,RotB
CHEMBL1779057,338.4030000000001,4.682100000000005,66.76,2,4,6
CHEMBL1783767,353.3740000000002,4.260800000000002,81.79,1,5,8
CHEMBL1783771,267.284,3.722800000000001,55.49000000000001,1,4,3
CHEMBL1783772,338.40700000000015,3.957600000000003,47.73000000000001,0,5,7
CHEMBL1783773,366.46100000000007,4.7378000000000045,47.730000000000004,0,5,9
CHEMBL1783774,394.5150000000002,5.5148000000000055,47.73000000000001,0,5,9
CHEMBL1783775,380.4440000000003,3.728200000000002,56.96000000000001,0,6,7
CHEMBL1783776,364.4450000000003,4.491800000000004,47.73000000000001,0,5,7
CHEMBL1783777,378.4720000000003,4.881900000000004,47.73000000000001,0,5,7
CHEMBL1783778,343.8100000000002,5.024900000000003,44.49000000000001,0,4,7
CHEMBL1783779,352.4340000000002,4.347700000000003,47.73000000000001,0,5,8
CHEMBL1783780,380.4880000000001,5.127900000000005,47.730000000000004,0,5,10
CHEMBL1783781,394.5150000000001,5.518000000000005,47.730000000000004,0,5,11
CHEMBL1783782,378.4720000000003,4.881900000000004,47.73000000000001,0,5,8
CHEMBL1783783,392.49900000000036,5.272000000000005,47.73000000000001,0,5,8
CHEMBL1783784,353.374,3.959100000000003,70.79,0,6,7
CHEMBL1783785,381.4280000000001,4.7393000000000045,70.79,0,6,9
CHEMBL1783786,325.3200000000001,3.480600000000001,81.79,1,5,6
CHEMBL1783787,323.3480000000001,3.794800000000002,57.02000000000001,0,5,6
CHEMBL1783788,396.4870000000001,4.098700000000004,67.96000000000001,1,6,10
CHEMBL1783789,394.4710000000003,3.8527000000000022,67.96000000000001,1,6,8
CHEMBL1783790,408.49800000000033,4.242800000000003,67.96000000000001,1,6,8
CHEMBL1782082,415.5740000000001,4.8822000000000045,75.63000000000001,2,4,10
CHEMBL1784622,429.6010000000003,5.536300000000006,64.63,1,4,11
CHEMBL1795944,732.8310000000001,4.9001000000000055,161.72,2,12,18
CHEMBL1795945,746.8580000000002,5.288600000000006,161.72,2,12,18
CHEMBL1795946,732.8310000000001,4.9001000000000055,161.72,2,12,18
CHEMBL1795947,746.8580000000002,5.288600000000006,161.72,2,12,18
CHEMBL1795948,732.8310000000001,4.9001000000000055,161.72,2,12,18
CHEMBL1795949,746.8580000000002,5.288600000000006,161.72,2,12,18
CHEMBL1795950,808.9290000000001,6.643000000000007,161.72,2,12,20
CHEMBL1795951,822.956,7.031500000000007,161.72000000000003,2,12,20
CHEMBL1796989,402.49400000000014,4.698500000000004,60.33,1,4,7
CHEMBL1796995,451.53000000000014,4.556700000000003,80.53999999999999,2,6,6
CHEMBL1796996,410.4730000000002,4.681400000000004,60.33,1,4,4
CHEMBL1801400,417.4860000000001,5.168500000000003,64.63000000000001,1,5,7
CHEMBL1801401,553.4800000000001,7.206100000000005,64.63000000000001,1,5,7
CHEMBL1801402,453.4660000000001,5.4467000000000025,64.63000000000001,1,5,7
CHEMBL1801403,545.6160000000003,4.162740000000003,132.91,1,9,7
CHEMBL1801404,485.4830000000001,6.187300000000004,64.63000000000001,1,5,7
CHEMBL1801405,435.4760000000001,5.307600000000003,64.63000000000001,1,5,7
CHEMBL1801406,435.4760000000001,5.307600000000003,64.63000000000001,1,5,7
CHEMBL1801407,503.4730000000001,6.326400000000003,64.63000000000001,1,5,7
CHEMBL1801408,385.39700000000016,3.052900000000001,101.93,2,6,7
CHEMBL1801409,672.6030000000003,8.458400000000003,93.73,2,6,9
CHEMBL1801410,634.6540000000006,5.208200000000005,111.24,1,8,9
CHEMBL1801432,486.4710000000001,5.582300000000004,77.52000000000001,1,6,7
CHEMBL1801433,486.4710000000001,5.582300000000004,77.52000000000001,1,6,7
CHEMBL1801434,549.5480000000002,5.684420000000004,98.77,1,7,7
CHEMBL1801435,614.4170000000003,6.138500000000002,98.77,1,7,7
CHEMBL1801436,538.6030000000002,4.624020000000003,127.86999999999998,2,8,8
CHEMBL454077,390.47900000000016,5.791600000000006,55.760000000000005,1,4,3
CHEMBL579363,373.3860000000001,3.442820000000001,113.67999999999999,2,5,5
CHEMBL1800272,413.4510000000001,3.7516000000000016,104.89,1,5,4
CHEMBL1800273,378.34000000000015,-0.3342799999999999,178.70999999999998,3,7,4
CHEMBL1801411,632.3760000000003,7.968600000000006,64.63000000000001,1,5,7
CHEMBL1801437,668.6710000000004,6.936720000000005,127.87,2,8,9
CHEMBL1801438,695.5909999999999,4.140600000000003,145.38,1,10,9
CHEMBL1801439,696.441,7.465720000000005,98.77000000000001,1,7,7
CHEMBL1801440,628.4440000000002,6.446920000000005,98.77000000000001,1,7,7
CHEMBL1811965,368.42900000000014,4.277000000000004,64.99000000000001,1,5,5
CHEMBL1811967,354.40200000000016,3.974000000000003,75.99000000000001,2,5,4
CHEMBL1811968,408.4940000000002,4.681800000000005,75.99000000000001,2,5,3
CHEMBL1811969,286.283,2.8129000000000013,75.99000000000001,2,5,2
CHEMBL1811971,370.4010000000002,3.078000000000001,96.22,3,6,4
CHEMBL1822602,765.7720000000002,5.010100000000004,183.82999999999998,1,14,17
CHEMBL1822603,779.7990000000002,5.400200000000004,183.82999999999998,1,14,18
CHEMBL1822604,793.8260000000002,5.7903000000000056,183.82999999999998,1,14,19
CHEMBL1822605,781.7710000000003,4.7157000000000036,204.05999999999997,2,15,17
CHEMBL1822606,795.7980000000002,5.105800000000004,204.05999999999997,2,15,18
CHEMBL1822607,809.8250000000003,5.495900000000005,204.05999999999997,2,15,19
CHEMBL1822608,781.7710000000002,4.7157000000000036,204.05999999999997,2,15,17
CHEMBL1822609,795.7980000000002,5.105800000000004,204.05999999999997,2,15,18
CHEMBL1822610,809.8250000000003,5.495900000000005,204.05999999999997,2,15,19
CHEMBL1823749,443.47400000000016,4.983600000000004,75.63,2,3,8
CHEMBL1823750,455.51000000000016,4.853100000000003,84.86,2,4,9
CHEMBL1823751,459.92900000000014,5.497900000000004,75.63,2,3,8
CHEMBL1823753,439.4830000000001,5.078300000000004,84.86,2,4,7
CHEMBL1823754,339.36600000000004,3.5123000000000015,72.55,2,3,6
CHEMBL1823755,491.94600000000025,5.565900000000004,75.63,2,3,9
CHEMBL1823756,507.9450000000003,5.402200000000004,84.86,2,4,10
CHEMBL1823757,471.5280000000002,5.302600000000004,75.63,2,3,10
